domain,outcome,blockers,warnings,security_txt,security_txt_expires,security_txt_expired,days_left,files_present,security_txt_readable
nodejs.org,checked,0,1,yes,yes,no,,security.txt robots.txt llms.txt,yes
python.org,checked,1,2,yes,no,no,,security.txt robots.txt,no
rust-lang.org,checked,0,2,yes,yes,no,,security.txt,yes
go.dev,checked,0,2,no,,,,robots.txt,
kubernetes.io,checked,0,2,yes,yes,no,,security.txt robots.txt,yes
prometheus.io,checked,0,2,no,,,,robots.txt,
grafana.com,checked,0,2,no,,,,robots.txt llms.txt,
jquery.com,checked,1,1,no,,,,robots.txt change-password,
vuejs.org,checked,0,2,no,,,,robots.txt llms.txt,
svelte.dev,checked,0,1,yes,yes,no,,security.txt robots.txt llms.txt,yes
astro.build,checked,0,2,no,,,,robots.txt,
vitejs.dev,checked,0,3,no,,,,llms.txt,
eslint.org,checked,0,2,no,,,,robots.txt,
prettier.io,checked,0,3,no,,,,llms.txt,
babeljs.io,checked,0,3,no,,,,,
webpack.js.org,checked,0,2,no,,,,robots.txt,
rollupjs.org,checked,0,3,no,,,,llms.txt,
deno.com,checked,6,3,yes,no,no,,security.txt robots.txt,yes
bun.sh,checked,0,2,no,,,,robots.txt llms.txt,
gohugo.io,checked,0,3,no,,,,,
jekyllrb.com,checked,0,2,no,,,,robots.txt,
docusaurus.io,checked,0,2,no,,,,robots.txt,
storybook.js.org,checked,0,2,no,,,,robots.txt llms.txt,
cypress.io,checked,1,1,yes,no,no,,security.txt robots.txt assetlinks.json,no
playwright.dev,checked,0,2,no,,,,robots.txt,
jestjs.io,checked,0,3,no,,,,,
vitest.dev,checked,0,2,no,,,,robots.txt llms.txt,
mochajs.org,checked,0,3,no,,,,,
expressjs.com,checked,0,1,yes,yes,no,,security.txt robots.txt llms.txt,yes
fastify.dev,checked,0,3,no,,,,llms.txt,
nestjs.com,checked,8,3,yes,no,no,,security.txt,yes
koajs.com,checked,0,3,no,,,,,
hapi.dev,checked,0,3,no,,,,,
socket.io,checked,0,3,no,,,,,
axios-http.com,checked,7,3,no,,,,,
lodash.com,checked,0,2,no,,,,robots.txt,
momentjs.com,checked,0,3,no,,,,,
redux.js.org,checked,0,3,no,,,,,
reactrouter.com,checked,0,3,no,,,,,
tailwindcss.com,checked,10,1,no,,,,,
getbootstrap.com,checked,0,2,no,,,,robots.txt,
sass-lang.com,checked,0,2,no,,,,robots.txt,
postcss.org,checked,0,3,no,,,,,
typescriptlang.org,checked,0,3,no,,,,,
electronjs.org,checked,0,3,no,,,,,
tauri.app,checked,0,2,no,,,,robots.txt llms.txt,
